wellID,replicate,media,strain,timeTidy,data
Day0Anc_3,1,LB,Day0Anc,0,0.093599997
Day0Anc_3,1,LB,Day0Anc,0.177305556,0.093699999
Day0Anc_3,1,LB,Day0Anc,0.354611111,0.093199998
Day0Anc_3,1,LB,Day0Anc,0.531916667,0.093599997
Day0Anc_3,1,LB,Day0Anc,0.709222222,0.0942
Day0Anc_3,1,LB,Day0Anc,0.886527778,0.093400002
Day0Anc_3,1,LB,Day0Anc,1.063833333,0.095299996
Day0Anc_3,1,LB,Day0Anc,1.241138889,0.095200002
Day0Anc_3,1,LB,Day0Anc,1.418444444,0.096799999
Day0Anc_3,1,LB,Day0Anc,1.59575,0.097099997
Day0Anc_3,1,LB,Day0Anc,1.773055556,0.098800004
Day0Anc_3,1,LB,Day0Anc,1.950361111,0.100000001
Day0Anc_3,1,LB,Day0Anc,2.127666667,0.1021
Day0Anc_3,1,LB,Day0Anc,2.304972222,0.105099998
Day0Anc_3,1,LB,Day0Anc,2.482277778,0.108999997
Day0Anc_3,1,LB,Day0Anc,2.659583333,0.114500001
Day0Anc_3,1,LB,Day0Anc,2.836888889,0.118799999
Day0Anc_3,1,LB,Day0Anc,3.014194444,0.126599997
Day0Anc_3,1,LB,Day0Anc,3.1915,0.136099994
Day0Anc_3,1,LB,Day0Anc,3.368805556,0.146599993
Day0Anc_3,1,LB,Day0Anc,3.546111111,0.160699993
Day0Anc_3,1,LB,Day0Anc,3.723416667,0.178900003
Day0Anc_3,1,LB,Day0Anc,3.900722222,0.200800002
Day0Anc_3,1,LB,Day0Anc,4.078027778,0.222299993
Day0Anc_3,1,LB,Day0Anc,4.255333333,0.243599996
Day0Anc_3,1,LB,Day0Anc,4.432638889,0.266200006
Day0Anc_3,1,LB,Day0Anc,4.609944444,0.291099995
Day0Anc_3,1,LB,Day0Anc,4.78725,0.316399992
Day0Anc_3,1,LB,Day0Anc,4.964555556,0.334699988
Day0Anc_3,1,LB,Day0Anc,5.141861111,0.360399991
Day0Anc_3,1,LB,Day0Anc,5.319166667,0.378300011
Day0Anc_3,1,LB,Day0Anc,5.496472222,0.407000005
Day0Anc_3,1,LB,Day0Anc,5.673777778,0.415199995
Day0Anc_3,1,LB,Day0Anc,5.851083333,0.432399988
Day0Anc_3,1,LB,Day0Anc,6.028388889,0.451799989
Day0Anc_3,1,LB,Day0Anc,6.205694444,0.469099998
Day0Anc_3,1,LB,Day0Anc,6.383,0.476500005
Day0Anc_3,1,LB,Day0Anc,6.560305556,0.496499985
Day0Anc_3,1,LB,Day0Anc,6.737611111,0.511600018
Day0Anc_3,1,LB,Day0Anc,6.914916667,0.529500008
Day0Anc_3,1,LB,Day0Anc,7.092222222,0.541499972
Day0Anc_3,1,LB,Day0Anc,7.269527778,0.559300005
Day0Anc_3,1,LB,Day0Anc,7.446833333,0.576900005
Day0Anc_3,1,LB,Day0Anc,7.624138889,0.596899986
Day0Anc_3,1,LB,Day0Anc,7.801444444,0.609099984
Day0Anc_3,1,LB,Day0Anc,7.97875,0.627600014
Day0Anc_3,1,LB,Day0Anc,8.156055556,0.645399988
Day0Anc_3,1,LB,Day0Anc,8.333361111,0.658399999
Day0Anc_3,1,LB,Day0Anc,8.510666667,0.672900021
Day0Anc_3,1,LB,Day0Anc,8.687972222,0.684099972
Day0Anc_3,1,LB,Day0Anc,8.865277778,0.693700016
Day0Anc_3,1,LB,Day0Anc,9.042583333,0.708800018
Day0Anc_3,1,LB,Day0Anc,9.219888889,0.719699979
Day0Anc_3,1,LB,Day0Anc,9.397194444,0.738399982
Day0Anc_3,1,LB,Day0Anc,9.5745,0.749300003
Day0Anc_3,1,LB,Day0Anc,9.751805556,0.761300027
Day0Anc_3,1,LB,Day0Anc,9.929111111,0.775200009
Day0Anc_3,1,LB,Day0Anc,10.10641667,0.785899997
Day0Anc_3,1,LB,Day0Anc,10.28372222,0.801500022
Day0Anc_3,1,LB,Day0Anc,10.46102778,0.813899994
Day0Anc_3,1,LB,Day0Anc,10.63833333,0.826200008
Day0Anc_3,1,LB,Day0Anc,10.81563889,0.836499989
Day0Anc_3,1,LB,Day0Anc,10.99294444,0.845499992
Day0Anc_3,1,LB,Day0Anc,11.17025,0.85799998
Day0Anc_3,1,LB,Day0Anc,11.34755556,0.866599977
Day0Anc_3,1,LB,Day0Anc,11.52486111,0.877399981
Day0Anc_3,1,LB,Day0Anc,11.70216667,0.884299994
Day0Anc_3,1,LB,Day0Anc,11.87947222,0.893700004
Day0Anc_3,1,LB,Day0Anc,12.05677778,0.902999997
Day0Anc_3,1,LB,Day0Anc,12.23408333,0.911000013
Day0Anc_3,1,LB,Day0Anc,12.41138889,0.919799984
Day0Anc_3,1,LB,Day0Anc,12.58869444,0.926999986
Day0Anc_3,1,LB,Day0Anc,12.766,0.93629998
Day0Anc_3,1,LB,Day0Anc,12.94330556,0.943499982
Day0Anc_3,1,LB,Day0Anc,13.12061111,0.951600015
Day0Anc_3,1,LB,Day0Anc,13.29791667,0.959399998
Day0Anc_3,1,LB,Day0Anc,13.47522222,0.966400027
Day0Anc_3,1,LB,Day0Anc,13.65252778,0.972599983
Day0Anc_3,1,LB,Day0Anc,13.82983333,0.979600012
Day0Anc_3,1,LB,Day0Anc,14.00713889,0.985899985
Day0Anc_3,1,LB,Day0Anc,14.18444444,0.993700027
Day0Anc_3,1,LB,Day0Anc,14.36175,0.996100008
Day0Anc_3,1,LB,Day0Anc,14.53905556,1.003900051
Day0Anc_3,1,LB,Day0Anc,14.71636111,1.012099981
Day0Anc_3,1,LB,Day0Anc,14.89366667,1.016899943
Day0Anc_3,1,LB,Day0Anc,15.07097222,1.021800041
Day0Anc_3,1,LB,Day0Anc,15.24827778,1.02699995
Day0Anc_3,1,LB,Day0Anc,15.42558333,1.032099962
Day0Anc_3,1,LB,Day0Anc,15.60288889,1.039399981
Day0Anc_3,1,LB,Day0Anc,15.78019444,1.043400049
Day0Anc_3,1,LB,Day0Anc,15.9575,1.049100041
Day0Anc_3,1,LB,Day0Anc,16.13480556,1.053599954
Day0Anc_3,1,LB,Day0Anc,16.31211111,1.058500051
Day0Anc_3,1,LB,Day0Anc,16.48941667,1.063300014
Day0Anc_3,1,LB,Day0Anc,16.66672222,1.068099976
Day0Anc_3,1,LB,Day0Anc,16.84402778,1.072900057
Day0Anc_3,1,LB,Day0Anc,17.02133333,1.074800014
Day0Anc_3,1,LB,Day0Anc,17.19863889,1.081200004
Day0Anc_3,1,LB,Day0Anc,17.37594444,1.084699988
Day0Anc_3,1,LB,Day0Anc,17.55325,1.091300011
Day0Anc_3,1,LB,Day0Anc,17.73055556,1.091699958
Day0Anc_3,1,LB,Day0Anc,17.90786111,1.095000029
Day0Anc_3,1,LB,Day0Anc,18.08516667,1.098899961
Day0Anc_3,1,LB,Day0Anc,18.26247222,1.103399992
Day0Anc_3,1,LB,Day0Anc,18.43977778,1.113199949
Day0Anc_3,1,LB,Day0Anc,18.61708333,1.109500051
Day0Anc_3,1,LB,Day0Anc,18.79438889,1.113199949
Day0Anc_3,1,LB,Day0Anc,18.97169444,1.116299987
Day0Anc_3,1,LB,Day0Anc,19.149,1.120100021
Day0Anc_3,1,LB,Day0Anc,19.32630556,1.123399973
Day0Anc_3,1,LB,Day0Anc,19.50361111,1.12650001
Day0Anc_3,1,LB,Day0Anc,19.68091667,1.128800035
Day0Anc_3,1,LB,Day0Anc,19.85822222,1.132799983
Day0Anc_3,1,LB,Day0Anc,20.03552778,1.134699941
Day0Anc_3,1,LB,Day0Anc,20.21283333,1.136199951
Day0Anc_3,1,LB,Day0Anc,20.39013889,1.140499949
Day0Anc_3,1,LB,Day0Anc,20.56744444,1.14260006
Day0Anc_3,1,LB,Day0Anc,20.74475,1.146499991
Day0Anc_3,1,LB,Day0Anc,20.92205556,1.148399949
Day0Anc_3,1,LB,Day0Anc,21.09936111,1.153399944
Day0Anc_3,1,LB,Day0Anc,21.27666667,1.153100014
Day0Anc_3,1,LB,Day0Anc,21.45397222,1.156000018
Day0Anc_3,1,LB,Day0Anc,21.63127778,1.159100056
Day0Anc_3,1,LB,Day0Anc,21.80858333,1.161999941
Day0Anc_3,1,LB,Day0Anc,21.98588889,1.165799975
Day0Anc_3,1,LB,Day0Anc,22.16319444,1.166900039
Day0Anc_3,1,LB,Day0Anc,22.3405,1.16989994
Day0Anc_3,1,LB,Day0Anc,22.51780556,1.171300054
Day0Anc_3,1,LB,Day0Anc,22.69511111,1.171800017
Day0Anc_3,1,LB,Day0Anc,22.87241667,1.179399967
Day0Anc_3,1,LB,Day0Anc,23.04972222,1.175099969
Day0Anc_3,1,LB,Day0Anc,23.22702778,1.177099943
Day0Anc_3,1,LB,Day0Anc,23.40433333,1.179200053
Day0Anc_3,1,LB,Day0Anc,23.58163889,1.187299967
Day0Anc_3,1,LB,Day0Anc,23.75894444,1.182000041
Day0Anc_3,1,LB,Day0Anc,23.93625,1.189299941
Day0Anc_3,1,LB,Day0Anc,24.11355556,1.188599944
Day0Anc_3,1,LB,Day0Anc,24.29086111,1.184499979
Day0Anc_3,1,LB,Day0Anc,24.46816667,1.1875
Day0Anc_3,1,LB,Day0Anc,24.64547222,1.187299967
Day0Anc_3,1,LB,Day0Anc,24.82277778,1.188500047
Day0Anc_3,1,LB,Day0Anc,25.00008333,1.192399979
Day0Anc_3,1,LB,Day0Anc,25.17738889,1.193099976
Day0Anc_3,1,LB,Day0Anc,25.35469444,1.195299983
Day0Anc_3,1,LB,Day0Anc,25.532,1.196200013
Day0Anc_3,1,LB,Day0Anc,25.70930556,1.19690001
Day0Anc_3,1,LB,Day0Anc,25.88661111,1.198699951
Day0Anc_3,1,LB,Day0Anc,26.06391667,1.197999954
Day0Anc_3,1,LB,Day0Anc,26.24122222,1.199300051
Day0Anc_3,1,LB,Day0Anc,26.41852778,1.199699998
Day0Anc_3,1,LB,Day0Anc,26.59583333,1.200999975
