wellID,replicate,family,media,strain,timeTidy,data
blank_0,1,blank,PBS,blank,17.02133333,0.0845
blank_0,1,blank,PBS,blank,17.19863889,0.084399998
blank_0,1,blank,PBS,blank,17.37594444,0.084600002
blank_0,1,blank,PBS,blank,17.55325,0.084899999
blank_0,1,blank,PBS,blank,17.73055556,0.084700003
blank_0,1,blank,PBS,blank,17.90786111,0.084600002
blank_0,1,blank,PBS,blank,18.08516667,0.0845
blank_0,1,blank,PBS,blank,18.26247222,0.084899999
blank_0,1,blank,PBS,blank,18.43977778,0.084700003
blank_0,1,blank,PBS,blank,18.61708333,0.085000001
blank_0,1,blank,PBS,blank,18.79438889,0.085199997
blank_0,1,blank,PBS,blank,18.97169444,0.084899999
blank_0,1,blank,PBS,blank,19.149,0.084899999
blank_0,1,blank,PBS,blank,19.32630556,0.085199997
blank_0,1,blank,PBS,blank,19.50361111,0.0845
blank_0,1,blank,PBS,blank,19.68091667,0.084899999
blank_0,1,blank,PBS,blank,19.85822222,0.085199997
blank_0,1,blank,PBS,blank,20.03552778,0.084799998
blank_0,1,blank,PBS,blank,20.21283333,0.085100003
blank_0,1,blank,PBS,blank,20.39013889,0.084899999
blank_0,1,blank,PBS,blank,20.56744444,0.084600002
blank_0,1,blank,PBS,blank,20.74475,0.084700003
blank_0,1,blank,PBS,blank,20.92205556,0.084600002
blank_0,1,blank,PBS,blank,21.09936111,0.084399998
blank_0,1,blank,PBS,blank,21.27666667,0.084799998
blank_0,1,blank,PBS,blank,21.45397222,0.084700003
blank_0,1,blank,PBS,blank,21.63127778,0.084600002
blank_0,1,blank,PBS,blank,21.80858333,0.084700003
blank_0,1,blank,PBS,blank,21.98588889,0.084899999
blank_0,1,blank,PBS,blank,22.16319444,0.084799998
blank_0,1,blank,PBS,blank,22.3405,0.0854
blank_0,1,blank,PBS,blank,22.51780556,0.084700003
blank_0,1,blank,PBS,blank,22.69511111,0.085000001
blank_0,1,blank,PBS,blank,22.87241667,0.084799998
blank_0,1,blank,PBS,blank,23.04972222,0.0845
blank_0,1,blank,PBS,blank,23.22702778,0.084899999
blank_0,1,blank,PBS,blank,23.40433333,0.084899999
blank_0,1,blank,PBS,blank,23.58163889,0.085100003
blank_0,1,blank,PBS,blank,23.75894444,0.084799998
blank_0,1,blank,PBS,blank,23.93625,0.085000001
blank_0,1,blank,PBS,blank,24.11355556,0.085199997
blank_0,1,blank,PBS,blank,24.29086111,0.084799998
blank_0,1,blank,PBS,blank,24.46816667,0.084899999
blank_0,1,blank,PBS,blank,24.64547222,0.084799998
blank_0,1,blank,PBS,blank,24.82277778,0.085000001
blank_0,1,blank,PBS,blank,25.00008333,0.085000001
blank_0,1,blank,PBS,blank,25.17738889,0.084399998
blank_0,1,blank,PBS,blank,25.35469444,0.085000001
blank_0,1,blank,PBS,blank,25.532,0.084299996
blank_0,1,blank,PBS,blank,25.70930556,0.084799998
blank_0,1,blank,PBS,blank,25.88661111,0.084700003
blank_0,1,blank,PBS,blank,26.06391667,0.084399998
blank_0,1,blank,PBS,blank,26.24122222,0.084899999
blank_0,1,blank,PBS,blank,26.41852778,0.084700003
blank_0,1,blank,PBS,blank,26.59583333,0.084600002
blank_0,1,blank,PBS,blank,26.77313889,0.084799998
blank_0,1,blank,PBS,blank,26.95044444,0.0845
blank_0,1,blank,PBS,blank,27.12775,0.084600002
blank_0,1,blank,PBS,blank,27.30505556,0.085000001
blank_0,1,blank,PBS,blank,27.48236111,0.084200002
blank_0,1,blank,PBS,blank,27.65966667,0.085199997
blank_0,1,blank,PBS,blank,27.83697222,0.085000001
blank_0,1,blank,PBS,blank,28.01427778,0.085199997
blank_0,1,blank,PBS,blank,28.19158333,0.084399998
blank_0,1,blank,PBS,blank,28.36888889,0.084700003
blank_0,1,blank,PBS,blank,28.54619444,0.084799998
blank_0,1,blank,PBS,blank,28.7235,0.084100001
blank_0,1,blank,PBS,blank,28.90080556,0.084399998
blank_0,1,blank,PBS,blank,29.07811111,0.0854
blank_0,1,blank,PBS,blank,29.25541667,0.084600002
