expID,strain,media,replicate,timepoint,OD600,OD600_blanked
blank1,blank,GlcNAc,1,15.17297222,0.08531,-0.00068
blank1,blank,GlcNAc,1,15.358,0.08529,-0.0007
blank1,blank,GlcNAc,1,15.54302778,0.08525,-0.00074
blank1,blank,GlcNAc,1,15.72805556,0.085290001,-0.000699999
blank1,blank,GlcNAc,1,15.91308333,0.08526,-0.00073
blank1,blank,GlcNAc,1,16.09811111,0.08532,-0.00067
blank1,blank,GlcNAc,1,16.28313889,0.08536,-0.000629999
blank1,blank,GlcNAc,1,16.46819444,0.08538,-0.00061
blank1,blank,GlcNAc,1,16.65322222,0.08521,-0.00078
blank1,blank,GlcNAc,1,16.83825,0.085260001,-0.000729999
blank1,blank,GlcNAc,1,17.02327778,0.08524,-0.000749999
blank1,blank,GlcNAc,1,17.20830556,0.085310001,-0.000679999
blank1,blank,GlcNAc,1,17.39333333,0.08532,-0.00067
blank1,blank,GlcNAc,1,17.57836111,0.08521,-0.00078
blank1,blank,GlcNAc,1,17.76338889,0.085230001,-0.000759999
blank1,blank,GlcNAc,1,17.94844444,0.085280001,-0.000709999
blank1,blank,GlcNAc,1,18.13347222,0.085220001,-0.000769999
blank1,blank,GlcNAc,1,18.3185,0.08515,-0.00084
blank1,blank,GlcNAc,1,18.50352778,0.085300002,-0.000689998
blank1,blank,GlcNAc,1,18.68855556,0.085270001,-0.000719999
blank1,blank,GlcNAc,1,18.87358333,0.085270002,-0.000719998
blank1,blank,GlcNAc,1,19.05861111,0.08531,-0.00068
blank1,blank,GlcNAc,1,19.24363889,0.08527,-0.00072
blank1,blank,GlcNAc,1,19.42866667,0.08524,-0.000749999
blank1,blank,GlcNAc,1,19.61369444,0.08526,-0.00073
blank1,blank,GlcNAc,1,19.79875,0.08528,-0.000709999
blank1,blank,GlcNAc,1,19.98377778,0.08537,-0.000619999
blank1,blank,GlcNAc,1,20.16880556,0.08532,-0.000669999
blank1,blank,GlcNAc,1,20.35383333,0.085210001,-0.000779999
blank1,blank,GlcNAc,1,20.53886111,0.085219999,-0.00077
blank1,blank,GlcNAc,1,20.72388889,0.08534,-0.00065
blank1,blank,GlcNAc,1,20.90891667,0.08532,-0.000669999
blank1,blank,GlcNAc,1,21.09394444,0.08526,-0.00073
blank1,blank,GlcNAc,1,21.27897222,0.08534,-0.00065
blank1,blank,GlcNAc,1,21.46402778,0.085260002,-0.000729998
blank1,blank,GlcNAc,1,21.64905556,0.0853,-0.00069
blank1,blank,GlcNAc,1,21.83408333,0.085250001,-0.000739998
blank1,blank,GlcNAc,1,22.01911111,0.08528,-0.000709999
blank1,blank,GlcNAc,1,22.20413889,0.08529,-0.0007
blank1,blank,GlcNAc,1,22.38916667,0.085320001,-0.000669999
blank1,blank,GlcNAc,1,22.57419444,0.085290001,-0.000699999
blank1,blank,GlcNAc,1,22.75922222,0.08528,-0.000709999
blank1,blank,GlcNAc,1,22.94427778,0.08532,-0.000669999
blank1,blank,GlcNAc,1,23.12930556,0.085270002,-0.000719998
blank1,blank,GlcNAc,1,23.31433333,0.085290001,-0.000699999
blank1,blank,GlcNAc,1,23.49936111,0.08535,-0.00064
blank1,blank,GlcNAc,1,23.68438889,0.085290001,-0.000699999
blank1,blank,GlcNAc,1,23.86941667,0.085230001,-0.000759999
blank1,blank,GlcNAc,1,24.05444444,0.08527,-0.00072
blank1,blank,GlcNAc,1,24.23947222,0.085290001,-0.000699999
blank1,blank,GlcNAc,1,24.4245,0.085280001,-0.000709999
blank1,blank,GlcNAc,1,24.60955556,0.08532,-0.00067
blank1,blank,GlcNAc,1,24.79458333,0.08529,-0.0007
blank1,blank,GlcNAc,1,24.97961111,0.085290001,-0.000699998
blank1,blank,GlcNAc,1,25.16475,0.085299999,-0.000690001
blank1,blank,GlcNAc,1,25.34977778,0.08532,-0.00067
blank1,blank,GlcNAc,1,25.53480556,0.08536,-0.000629999
blank1,blank,GlcNAc,1,25.71983333,0.08537,-0.000619999
blank1,blank,GlcNAc,1,25.90486111,0.08536,-0.00063
blank1,blank,GlcNAc,1,26.08988889,0.08528,-0.00071
blank1,blank,GlcNAc,1,26.27491667,0.08527,-0.00072
blank1,blank,GlcNAc,1,26.45994444,0.085330001,-0.000659999
blank1,blank,GlcNAc,1,26.64497222,0.085179999,-0.00081
blank1,blank,GlcNAc,1,26.83,0.08525,-0.00074
blank1,blank,GlcNAc,1,27.01502778,0.085169999,-0.00082
blank1,blank,GlcNAc,1,27.20005556,0.08521,-0.00078
blank1,blank,GlcNAc,1,27.38508333,0.085279999,-0.000710001
blank1,blank,GlcNAc,1,27.57011111,0.08527,-0.00072
blank1,blank,GlcNAc,1,27.75513889,0.08518,-0.00081
blank1,blank,GlcNAc,1,27.94016667,0.085200001,-0.000789999
blank1,blank,GlcNAc,1,28.12519444,0.085259999,-0.00073
blank1,blank,GlcNAc,1,28.31022222,0.08527,-0.00072
blank1,blank,GlcNAc,1,28.49525,0.085189998,-0.000800002
blank1,blank,GlcNAc,1,28.68027778,0.085249999,-0.000740001
blank1,blank,GlcNAc,1,28.86530556,0.085219999,-0.00077
blank1,blank,GlcNAc,1,29.05033333,0.08532,-0.00067
blank1,blank,GlcNAc,1,29.23536111,0.085249999,-0.000740001
blank1,blank,GlcNAc,1,29.42038889,0.08517,-0.00082
blank1,blank,GlcNAc,1,29.60541667,0.085299999,-0.000690001
blank1,blank,GlcNAc,1,29.79044444,0.085289999,-0.000700001
blank1,blank,GlcNAc,1,29.97547222,0.085249999,-0.000740001
blank1,blank,GlcNAc,1,30.1605,0.085209999,-0.000780001
