expID,plate,strain,carbonSource,growthRate,maxLnOD,lagPhase
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","L-Asparagine",0.325521976822919,-0.695149157429811,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","D-Aspartic Acid",0.164560725602145,-1.54693271727345,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","D-Glucosaminic Acid",0.174863701272712,-1.3799147649586,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","1,2-Propanediol",0.179746158192603,-1.41757863561276,1.77277777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Tween 40",0.359184230134307,-0.612673834951253,1.77277777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","alpha-Keto-Glutaric Acid",0.263244361418263,-0.721340939160059,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","alpha-Keto-Butyric Acid",0.00724009772895999,-1.30379317122166,18.0823333333333
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","alpha-Methyl-DGalactoside",0.172891202011901,-1.41716600226311,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","alpha-D-Lactose",0.163032742177292,-1.48104467627723,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Lactulose",0.157361494509919,-1.5915979731104,1.41822222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Sucrose",0.105778241563312,-1.24653243947678,1.24094444444444
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Uridine",0.162583560587006,-1.54084509792804,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","L-Glutamine",0.322205841108094,-0.58626781704744,1.77277777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","m-Tartaric Acid",0.140797427536876,-1.13289318074964,1.77277777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","D-Glucose-1-Phosphate",0.168840408522429,-1.40486576040419,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","D-Fructose-6-Phosphate",0.151274414369977,-1.47185226818103,1.95005555555556
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Tween 80",0.361820704815965,-0.723194126874451,2.12733333333333
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","alpha-Hydroxy Glutaric Acid-gamma-Lactone",0.186038583984254,-1.347843224485,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","alpha-Hydroxy Butyric Acid",0.14377658076777,-1.37476110795983,2.12733333333333
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","beta-Methyl-DGlucoside",0.177935345315501,-1.69010584845372,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Adonitol",0.152316092213701,-1.66336623307118,1.41822222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Maltotriose",0.158396596980801,-1.66020503312486,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","2-Deoxy Adenosine",0.142521850674536,-1.74411285217819,1.95005555555556
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Adenosine",0.149798371632102,-1.34668907939493,37.9374444444445
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Glycyl-L-Aspartic Acid",0.0753469059473671,-1.25421406772772,40.0647777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Citric Acid",0.264833700898766,-0.716006469729827,1.77277777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","m-Inositol",0.170423658781311,-1.6628386588559,1.41822222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","D-Threonine",0.146142140283914,-1.67611208189177,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Fumaric Acid",0.390840685928164,-0.906092904773713,1.77277777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Bromo Succinic Acid",0.299484204899272,-1.16924932789145,1.95005555555556
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Propionic Acid",0.271629086961124,-0.878754100329955,2.30461111111111
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Mucic Acid",0.177121667377071,-1.50237884860209,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Glycolic Acid",0.148221224155229,-1.73217068132057,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Glyoxylic Acid",0.113564135105346,-1.73954655691324,1.41822222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","D-Cellobiose",0.15616032007627,-1.70484813618833,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Inosine",0.196003727744364,-1.21773376276366,1.77277777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Glycyl-LGlutamic Acid",0.176902961800779,-1.47447005004461,1.41822222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Tricarballylic Acid",0.168522478399776,-1.59307256210061,1.41822222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","L-Serine",0.117568221157486,-1.50327774029748,1.41822222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","L-Threonine",0.178696284301576,-1.57939378171556,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","L-Alanine",0.316998591265099,-0.708870167085563,1.95005555555556
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","L-Alanyl-Glycine",0.195562619407983,-0.930136170727095,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Acetoacetic Acid",0.188463014227691,-1.60694104947775,1.77277777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","N-Acetyl-beta-D Mannosamine",0.169640920227464,-1.57262395941898,1.41822222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Mono Methyl Succinate",0.355528990840571,-1.29901635843143,2.12733333333333
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Methyl Pyruvate",0.220175402571903,-1.43674590291085,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","D-Malic Acid",0.192758921368354,-1.36806163818271,1.77277777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","L-Malic Acid",0.343299829204869,-0.889892274158014,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Glycyl-L-Proline",0.241268282840367,-0.511159028249103,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","p-Hydroxy Phenyl Acetic Acid",0.273180439876275,-0.533753175410358,1.95005555555556
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","m-Hydroxy Phenyl Acetic Acid",0.173591963482483,-1.34861324217034,1.95005555555556
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Tyramine",0.187286760480624,-0.35339459857145,7.80022222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","D-Psicose",0.182555458975593,-1.68685903737698,1.77277777777778
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","L-Lyxose",0.0704244096669612,-1.25351328495991,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Glucuronamide",0.150698405472846,-1.7147983883555,1.41822222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Pyruvic Acid",0.227253577117748,-1.14256415825984,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","L-Galactonic Acid-gamma-Lactone",0.151182105552532,-1.69554057445792,1.41822222222222
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","D-Galacturonic Acid",0.1737127764323,-1.72822146909775,1.5955
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","Phenylethylamine",0.043617157424173,-1.80910910057654,3.54555555555556
"biolog_growth_curves_2016_08_26_Day0Anc_PM1_PY","PM1","Day0Anc","2-Aminoethan",0.167407345637925,-0.884307716039909,1.5955
"biolog_growth_curves_2016_08_29_Day0Anc_PM2_LJD","PM2","Day0Anc","Negative Control",-0.000962848291673933,-1.66231136282841,26.7689444444444
"biolog_growth_curves_2016_08_29_Day0Anc_PM2_LJD","PM2","Day0Anc","Chondroitin Sulfate C",0.0327186318259452,-1.68039703042506,0.354555555555556
"biolog_growth_curves_2016_08_29_Day0Anc_PM2_LJD","PM2","Day0Anc","alpha-Cyclodextrin",0.0373286242361729,-1.65078087609272,0
"biolog_growth_curves_2016_08_29_Day0Anc_PM2_LJD","PM2","Day0Anc","beta-Cyclodextrin",0.0276591461358362,-1.53293992335084,0.177277777777778
"biolog_growth_curves_2016_08_29_Day0Anc_PM2_LJD","PM2","Day0Anc","gamma-Cyclodextrin",-0.000995171148834236,-1.66073121937,17.1959444444444
"biolog_growth_curves_2016_08_29_Day0Anc_PM2_LJD","PM2","Day0Anc","Dextrin",0.0758392406163294,-1.56829598752202,0
