wellID,replicate,media,expLabel,timeTidy,data
Day0Anc_3,1,LB,Day0Anc,0,0.091899998
Day0Anc_3,1,LB,Day0Anc,0.177305556,0.091700003
Day0Anc_3,1,LB,Day0Anc,0.354611111,0.092200004
Day0Anc_3,1,LB,Day0Anc,0.531916667,0.092200004
Day0Anc_3,1,LB,Day0Anc,0.709222222,0.092699997
Day0Anc_3,1,LB,Day0Anc,0.886527778,0.092699997
Day0Anc_3,1,LB,Day0Anc,1.063833333,0.092900001
Day0Anc_3,1,LB,Day0Anc,1.241138889,0.093400002
Day0Anc_3,1,LB,Day0Anc,1.418444444,0.0942
Day0Anc_3,1,LB,Day0Anc,1.59575,0.094999999
Day0Anc_3,1,LB,Day0Anc,1.773055556,0.096100003
Day0Anc_3,1,LB,Day0Anc,1.950361111,0.097800002
Day0Anc_3,1,LB,Day0Anc,2.127666667,0.100000001
Day0Anc_3,1,LB,Day0Anc,2.304972222,0.102700002
Day0Anc_3,1,LB,Day0Anc,2.482277778,0.105999999
Day0Anc_3,1,LB,Day0Anc,2.659583333,0.110399999
Day0Anc_3,1,LB,Day0Anc,2.836888889,0.115599997
Day0Anc_3,1,LB,Day0Anc,3.014194444,0.122400001
Day0Anc_3,1,LB,Day0Anc,3.1915,0.130700007
Day0Anc_3,1,LB,Day0Anc,3.368805556,0.140900001
Day0Anc_3,1,LB,Day0Anc,3.546111111,0.153699994
Day0Anc_3,1,LB,Day0Anc,3.723416667,0.169499993
Day0Anc_3,1,LB,Day0Anc,3.900722222,0.189500004
Day0Anc_3,1,LB,Day0Anc,4.078027778,0.213599995
Day0Anc_3,1,LB,Day0Anc,4.255333333,0.236399993
Day0Anc_3,1,LB,Day0Anc,4.432638889,0.25940001
Day0Anc_3,1,LB,Day0Anc,4.609944444,0.282599986
Day0Anc_3,1,LB,Day0Anc,4.78725,0.30430001
Day0Anc_3,1,LB,Day0Anc,4.964555556,0.327499986
Day0Anc_3,1,LB,Day0Anc,5.141861111,0.350899994
Day0Anc_3,1,LB,Day0Anc,5.319166667,0.375400007
Day0Anc_3,1,LB,Day0Anc,5.496472222,0.39230001
Day0Anc_3,1,LB,Day0Anc,5.673777778,0.413599998
