wellID,replicate,media,expLabel,timeTidy,data
Day0Anc_1,1,LB,Day0Anc,0,0.091799997
Day0Anc_1,1,LB,Day0Anc,0.177305556,0.091600001
Day0Anc_1,1,LB,Day0Anc,0.354611111,0.091600001
Day0Anc_1,1,LB,Day0Anc,0.531916667,0.092200004
Day0Anc_1,1,LB,Day0Anc,0.709222222,0.092100002
Day0Anc_1,1,LB,Day0Anc,0.886527778,0.092699997
Day0Anc_1,1,LB,Day0Anc,1.063833333,0.092500001
Day0Anc_1,1,LB,Day0Anc,1.241138889,0.093199998
Day0Anc_1,1,LB,Day0Anc,1.418444444,0.0942
Day0Anc_1,1,LB,Day0Anc,1.59575,0.095100001
Day0Anc_1,1,LB,Day0Anc,1.773055556,0.096199997
Day0Anc_1,1,LB,Day0Anc,1.950361111,0.097599998
Day0Anc_1,1,LB,Day0Anc,2.127666667,0.100000001
Day0Anc_1,1,LB,Day0Anc,2.304972222,0.103100002
Day0Anc_1,1,LB,Day0Anc,2.482277778,0.106200002
Day0Anc_1,1,LB,Day0Anc,2.659583333,0.110200003
Day0Anc_1,1,LB,Day0Anc,2.836888889,0.115500003
Day0Anc_1,1,LB,Day0Anc,3.014194444,0.122699998
Day0Anc_1,1,LB,Day0Anc,3.1915,0.130799994
Day0Anc_1,1,LB,Day0Anc,3.368805556,0.141100004
Day0Anc_1,1,LB,Day0Anc,3.546111111,0.154200003
Day0Anc_1,1,LB,Day0Anc,3.723416667,0.169499993
Day0Anc_1,1,LB,Day0Anc,3.900722222,0.189999998
Day0Anc_1,1,LB,Day0Anc,4.078027778,0.213100001
Day0Anc_1,1,LB,Day0Anc,4.255333333,0.233899996
Day0Anc_1,1,LB,Day0Anc,4.432638889,0.2597
Day0Anc_1,1,LB,Day0Anc,4.609944444,0.279399991
Day0Anc_1,1,LB,Day0Anc,4.78725,0.297899991
Day0Anc_1,1,LB,Day0Anc,4.964555556,0.323599994
Day0Anc_1,1,LB,Day0Anc,5.141861111,0.342900008
Day0Anc_1,1,LB,Day0Anc,5.319166667,0.370700002
Day0Anc_1,1,LB,Day0Anc,5.496472222,0.39379999
Day0Anc_1,1,LB,Day0Anc,5.673777778,0.41139999
Day0Anc_1,1,LB,Day0Anc,5.851083333,0.435699999
Day0Anc_1,1,LB,Day0Anc,6.028388889,0.446999997
Day0Anc_1,1,LB,Day0Anc,6.205694444,0.464899987
Day0Anc_1,1,LB,Day0Anc,6.383,0.49180001
Day0Anc_1,1,LB,Day0Anc,6.560305556,0.507700026
Day0Anc_1,1,LB,Day0Anc,6.737611111,0.528400004
Day0Anc_1,1,LB,Day0Anc,6.914916667,0.542400002
Day0Anc_1,1,LB,Day0Anc,7.092222222,0.556599975
Day0Anc_1,1,LB,Day0Anc,7.269527778,0.577600002
Day0Anc_1,1,LB,Day0Anc,7.446833333,0.594099998
Day0Anc_1,1,LB,Day0Anc,7.624138889,0.615499973
Day0Anc_1,1,LB,Day0Anc,7.801444444,0.637099981
Day0Anc_1,1,LB,Day0Anc,7.97875,0.644500017
Day0Anc_1,1,LB,Day0Anc,8.156055556,0.662100017
Day0Anc_1,1,LB,Day0Anc,8.333361111,0.672299981
Day0Anc_1,1,LB,Day0Anc,8.510666667,0.685000002
Day0Anc_1,1,LB,Day0Anc,8.687972222,0.703000009
Day0Anc_1,1,LB,Day0Anc,8.865277778,0.721499979
Day0Anc_1,1,LB,Day0Anc,9.042583333,0.731599987
Day0Anc_1,1,LB,Day0Anc,9.219888889,0.741599977
Day0Anc_1,1,LB,Day0Anc,9.397194444,0.759500027
Day0Anc_1,1,LB,Day0Anc,9.5745,0.786499977
Day0Anc_1,1,LB,Day0Anc,9.751805556,0.783699989
Day0Anc_1,1,LB,Day0Anc,9.929111111,0.796999991
Day0Anc_1,1,LB,Day0Anc,10.10641667,0.807699978
Day0Anc_1,1,LB,Day0Anc,10.28372222,0.817600012
