strain,carbonSource,Area_Under_Curve,Growth
Day0Anc,Pectin,6.16724993288518,FALSE
Day0Anc,L-Valine,6.449300050735487,FALSE
Day0Anc,Dextrin,6.645400106906899,FALSE
Day0Anc,m-Hydroxy Phenyl Acetic Acid,6.722699926,FALSE
Day0Anc,Glycogen,6.72440008074047,FALSE
Day0Anc,L-Threonine,6.860399925,FALSE
Day0Anc,D-Ribose,7.15050013,FALSE
Day0Anc,alpha-Hydroxy Glutaric Acid-gamma-Lactone,7.943599945,FALSE
Day0Anc,Oxalomalic Acid,8.12910005450249,FALSE
Day0Anc,Quinic Acid,8.158999934792535,FALSE
Day0Anc,D-Glucosamine,8.653150007128732,FALSE
Day0Anc,L-Fucose,8.81960011,FALSE
Day0Anc,L-Lyxose,9.303199999,FALSE
Day0Anc,D-Galactonic Acid-gamma-Lactone,9.426400185,FALSE
Day0Anc,m-Tartaric Acid,9.486999883000001,FALSE
Day0Anc,Glycine,9.57839996367695,FALSE
Day0Anc,"D,L-alpha-Glycerol Phosphate",9.974200083,FALSE
Day0Anc,L-Serine,10.251900039,FALSE
Day0Anc,L-Alaninamide,10.88274998962881,FALSE
Day0Anc,alpha-Keto-Butyric Acid,11.695799851,FALSE
Day0Anc,D-Arabitol,12.250449977815164,FALSE
Day0Anc,alpha-Hydroxy Butyric Acid,12.533699952000001,FALSE
Day0Anc,Inulin,12.764200039207953,FALSE
Day0Anc,Gelatin,13.407349988818183,FALSE
Day0Anc,Methyl Pyruvate,13.649400034000001,FALSE
Day0Anc,L-Lysine,14.245950110256684,FALSE
Day0Anc,a-Keto-Valeric Acid,15.341299965977687,FALSE
Day0Anc,L-Phenylalanine,15.455799855291861,FALSE
Day0Anc,"D,L-Carnitine",18.523449935019027,TRUE
Day0Anc,N-Acetyl-D Glucosamine,20.224199994,TRUE
Day0Anc,Mono Methyl Succinate,24.286599888,TRUE
Day0Anc,Inosine,25.097899929,TRUE
Day0Anc,L-Alanyl-Glycine,25.141699867,TRUE
Day0Anc,Sebacic Acid,26.52155023068192,TRUE
Day0Anc,Bromo Succinic Acid,26.856299976,TRUE
Day0Anc,L-Ornithine,27.495600081980225,TRUE
Day0Anc,D-Lactic Acid Methyl Ester,28.297799833118923,TRUE
Day0Anc,Malonic Acid,28.977449856698524,TRUE
Day0Anc,Acetic Acid,32.098000141,TRUE
Day0Anc,D-Fructose,34.549799829,TRUE
Day0Anc,Pyruvic Acid,34.573100098,TRUE
Day0Anc,D-Trehalose,34.814300078,TRUE
Day0Anc,Succinamic Acid,36.461999960243716,TRUE
Day0Anc,Citramalic Acid,36.774000234901905,TRUE
Day0Anc,L-Arginine,37.75285001844169,TRUE
Day0Anc,L-Lactic Acid,39.037999857,TRUE
Day0Anc,L-Leucine,40.38939990848304,TRUE
Day0Anc,Sorbic Acid,41.10399993509056,TRUE
Day0Anc,L-Malic Acid,43.445099928,TRUE
Day0Anc,L-Isoleucine,44.81379992514849,TRUE
Day0Anc,Butyric Acid,46.90299997478726,TRUE
Day0Anc,Succinic Acid,46.958699658,TRUE
Day0Anc,Fumaric Acid,47.532699878,TRUE
Day0Anc,2-Aminoethanol,48.490699913,TRUE
Day0Anc,Capric Acid,48.601249814033515,TRUE
Day0Anc,"D,L-Malic Acid",49.2636,TRUE
Day0Anc,Propionic Acid,49.715699935,TRUE
Day0Anc,D-Mannitol,51.625000092,TRUE
Day0Anc,D-Alanine,51.775200044,TRUE
Day0Anc,Citric Acid,55.19640025,TRUE
Day0Anc,Tween 20,55.296899746,TRUE
Day0Anc,L-Histidine,55.9692500308156,TRUE
Day0Anc,beta-Hydroxy Butyric Acid,57.27259989827873,TRUE
Day0Anc,Itaconic Acid,57.62115002423526,TRUE
Day0Anc,L-Glutamic Acid,58.315700205,TRUE
Day0Anc,Glycerol,58.544999881,TRUE
Day0Anc,delta-Amino Valeric Acid,58.8890499547124,TRUE
Day0Anc,L-Aspartic Acid,59.166899977,TRUE
Day0Anc,L-Alanine,64.506100193,TRUE
Day0Anc,L-Pyroglutamic Acid,64.91100015491247,TRUE
Day0Anc,alpha-Keto-Glutaric Acid,65.035900107,TRUE
Day0Anc,4-Hydroxy Benzoic Acid,67.98800022155048,TRUE
Day0Anc,Hydroxy-L-Proline,68.30350016802551,TRUE
Day0Anc,L-Asparagine,68.450199963,TRUE
Day0Anc,Caproic Acid,70.44120042771102,TRUE
Day0Anc,D-Gluconic Acid,71.673300132,TRUE
Day0Anc,L-Glutamine,72.545300079,TRUE
Day0Anc,Tween 40,74.075399911,TRUE
Day0Anc,Glycyl-L-Proline,74.30730002600001,TRUE
Day0Anc,Tween 80,81.374600121,TRUE
Day0Anc,D.L-Octopamine,82.08369996398689,TRUE
Day0Anc,alpha-D-Glucose,83.493099794,TRUE
Day0Anc,Putrescine,83.7467502579093,TRUE
Day0Anc,L-Proline,84.481899802,TRUE
Day0Anc,N-Acetyl-L-Glutamic Acid,86.29830012470484,TRUE
Day0Anc,p-Hydroxy Phenyl Acetic Acid,88.920299624,TRUE
Day0Anc,gamma-Amino Butyric Acid,91.94984994083644,TRUE
Day0Anc,Tyramine,103.385000504,TRUE
Day20C2,L-Homoserine,-24.97490005940198,FALSE
Day20C2,Glycogen,-19.38009983301162,FALSE
Day20C2,L-Methionine,-14.598000019788753,FALSE
Day20C2,2-Hydroxy Benzoic Acid,-12.828100100159647,FALSE
Day20C2,Pectin,-11.739899903535846,FALSE
Day20C2,2-Deoxy-D-Ribose,-11.59979990124702,FALSE
Day20C2,Mannan,-11.54220005869865,FALSE
Day20C2,L-Arabitol,-11.103400006890292,FALSE
Day20C2,"2,3-Butanediol",-10.69910000264646,FALSE
Day20C2,Glyoxylic Acid,-9.704100117000001,FALSE
Day20C2,L-Tartaric Acid,-9.368099987506861,FALSE
Day20C2,D-Galacturonic Acid,-9.278800041,FALSE
Day20C2,L-Rhamnose,-9.188800153,FALSE
Day20C2,D-Galactose,-8.564300062000001,FALSE
Day20C2,Laminarin,-8.160199999809262,FALSE
Day20C2,Sec-Butylamine,-8.003499940037738,FALSE
Day20C2,D-Melezitose,-7.878600046038629,FALSE
